ID,Chat,ChoiceA,ChoiceB,ChoiceAResult,ChoiceBResult,EndRoundSummary,ChoiceCorrect,33%,66%,90%,ThreatMoney,SystemInitial,SystemCorrect
1,I received an email message that looked very similar to GmailCOMMA urging me to update my security credentials. Once I clicked on the linkCOMMA I was prompted to input my username and passwordCOMMA but the format of the website looked different from the normal Gmail interface.,Phishing,DDOS,That's what I was thinking too!,I'm not sure DDOS is the correct term,sad,A,5,3,1,20,10% of all email addresses in the company have been flagged. ,10% of all email address in the company have been flagged. We shoud better educate our employees going forward to recognize these suspicious emails.
2,I received a text message from my co-workerCOMMA who is not in work todayCOMMA asking for my VPN login so he can complete his tasks remotely. This is oddCOMMA since he could easily reset his own passwordCOMMA and does not need my login credentials.,Vishing,Smishing,Vishing is a phising attack by phone; That does not seem applicable to this situation.,That sounds correct.,sad,B,5,3,1,25,Susppicious text messages should be ignored. ,Suspicious text messages should be ignored. Our employees should nbe able to recognize these unusual messages.
3,A company claiming to be software support called my work phoneCOMMA asking for my personal information in order to conduct a repair that I never issued. If I did issue the repairCOMMA I would have already relayed my information initially and would not need to reiterate it.,Vishing,Eavesdropping,That is correct. You should not provide your credentials to anyone.,,sad,A,5,3,1,30,Personal identifiable information should never be provided to anyoneCOMMA especially unkown people by phone. Our employees should not be falling for these obvious scams.,Personal identifiable information should never be provided to anyoneCOMMA especially unkown people by phone. 
4,When grabbing coffee during my lunch breakCOMMA I connected my work laptop to Starbucks wifiCOMMA visiting a multitude of different websites. A few days laterCOMMA I realized some of my accounts were compromised. I suspect the Wi-Fi connection was spoofed or I visited an unsecured site and some of my passwords were collected.,Man-in-the-middle attack,Social Engineering,That is what I was thinking too. Many public WiFi connections can be unsecure and have bad actors circumventing mutual authentication.,No. This is not a social engineering attack,sad,A,6,9,2,40,Users should not connect to unsecured WiFi networks.,Users should not connect to unsecured WiFi networks. Before clicking on a websiteCOMMA users can check if it has an out-of-date security certificate.
5,After finding a company branded USB device near my workspaceCOMMA I suspected it was one of my co-workers and plugged it into my laptop to attempt to ascertain their identity. My computer became unresponsive after inserting the USB.,Man-in-the-middle attack,Social Engineering,I don't think this is that type of attack,That is the same type of attack I was suspecting also. Unknown devices should not be connect to computers if you are unsure of their origin,sad,B,9,4,3,20,USB devices should not be inserted into a company's work laptop.,USB devices should not be inserted into a company's work laptop. Our IT team should disable USB port functionality on company laptops.
6,Last week an individual impersonating a delivery driverCOMMA equipped with a clipboard and a USPS uniformCOMMA bypassed security and was able to enter our building undetected. An employee has reported a missing laptop and we suspect this impersonator is the cause.,Phishing,Social Engineering,No. Phishing is when an attacker sends a fraudulent message,That is correct. Impersonating is one form of a social engineering attack,sad,B,4,9,3,20,How was this bad actor able to slip past security and trick the security staff?,How was this bad actor able to slip past security and trick the security staff? Our security has to be able to recognize suspicious individuals and ask for credentials.
7,When I turned my computer onCOMMA I initially noticed its poor performance as well as another co-worker with the same issue. It has been identified that our computer’s resources are being used to mine cryptocurrency in a covert manner.,Malware Infection,Phishing,YesCOMMA I belive that a bad actor could have scraped an employee's credentials and installed some software that is causing the slowdown.,That is incorrect. Phishing is when an attacker sends a fraudulent message,sad,A,10,5,4,25,Cryptocurrency mining software will slow down company computers and will hinder or halt our work if it is not resolved promptly.  ,Cryptocurrency mining software will slow down company computers and will hinder or halt our work if it is not resolved promptly. We should make sure our software is not infected and check regularly.
8,Upon opening my laptopCOMMA I realized that all my files are inaccessible and contain different extensions that I do not recognize. There is a text file on my desktop that reads QUOTE You have been ransomed. Once you pay us we give you the decryption key so you can access your files. Pay to our bitcoin wallet.QUOTE,Malware Infection,DDOS,YesCOMMA this seems to be a ransomware attack,No. A DDOS attack is where a bad actor disrupts services of a host connected to the Internet,sad,A,5,2,4,30,It is very detrimental that the computer has ransomware. ,It is very detrimental that the computer has ransomware. It would help if our computers have software that can detect intrusions.
9,Our website was overwhelmed with traffic until it crashedCOMMA making it inaccessible. It was estimated that we had an indirect loss due to sales that could not be processed with the site being down.,Smishing,DDOS,I think you are incorrect. A Smishing attack is a type of phishing by text messages.,Yes that seems to be what I was thinking too. A bad actor seems to have disrupted the services of a host connected to the Internet,sad,B,4,7,8,40,The server load for our website is at 100% capacity.,The server load for our website is at 100% capacity. Users are clomplaining about delays. Going forwardCOMMA we should install some detection software to identify when this behavior occurrs.
10,Employees have been noticing that their passwordsCOMMA personal identifiable informationCOMMA and credit card numbers have been compromised. It has been identified that a hacker is listening in on data that is being transmitted throughout the network.,Social Engineering,Passive Eavesdropping,That is not our issue here. Social engineering is when people are manipulated,That is what this issue is called. That is correct,sad,B,4,10,2,20,We have to eliminate this individual that is listening in on our data. ,We have to eliminate this individual that is listening in on our data. We should regularly check our software to detect if anyone is listening and scraping our data passively.
11,The company website’s bandwidth and processing capabilities are being overwhelmed with traffic incoming from all different parts of the worldCOMMA making it difficult to pinpoint the exact origin of this attack. I suspect botnets are being utilizedCOMMA which are being manipulated by some bad actor.,DDOS,Phising,Yes that seems to be what I was thinking too. A bad actor seems to be utilizing botnets to carry out his DDOS attack,That is not related to this incident. Phising is a social engineering attack where a bad attacker sends a fraudulent message,sad,A,4,7,8,20,The server load for our website is at maximum capacity.,The server load for our website is at maximum capacity and users are clomplaining about delays. Going forwardCOMMA we should install some detection software to identify when this behavior occurrs.
12,Our customers have reported that when visiting our websiteCOMMA they were redirected to a similar looking page asking for their personal credentials. We suspect that a malicious script was implanted into one of our subpages.,DDOS,Drive-by Download,No. A DDOS attack is where a bad actor disrupts services of a host connected to the Internet,I suspect that is correct. Code seems to have been unintewntionally downloaded. This cann happen without clickingCOMMA pressing downloadCOMMA or even opening a malicious email attachment.,sad,B,4,10COMMA3COMMA1,6,25,We have to identify how this malicious script was installed on our web page. ,We have to identify how this malicious script was installed on our web page. Installing some sort of software could be advantageous for detecting future malicious code on our side.
13,Upon logging into my email accountCOMMA I realized my password was compromised; Numerous emails have been sent out to my colleagues asking for their login information and other compromising details. I am unaware of how my password was stolen.,Man-in-the-middle attack,Dictionary Attack,I don't think a man-in-the-middle-attack occurred. Mutual authentication was not circumvented in this case.,Since you password is very simpleCOMMA a bad actor was able to run a program with common passwords and brute-forced his way to figure it out.,sad,B,5,7,9,30,Passwords should be complex and follow company standards of having multiple capital lettersCOMMA lowercase lettersCOMMA and speical characters.,Passwords should be complex and follow company standards of having multiple capital lettersCOMMA lowercase lettersCOMMA and speical characters. The IT team could enforce that policy and also force employees to change their passwords regularly.
